route_carrier,Quarter,fare_mean_change,risk_change,demand_c_change
LAX-JFK_DL,3,8.00187157111776,0.01992753623188405,0.09095609611310707
LAX-JFK_DL,4,-14.27887923259658,-0.0018115942028985588,0.2850376445478453
LAX-ORD_AA,1,17.354537635162615,0.02058220582205822,-0.0703116109633104
LAX-ORD_AA,2,-30.645776462487788,-0.012820512820512817,0.04229773147897298
LAX-ORD_AA,3,-33.28835094026337,0.007246376811594207,0.18767884174192595
LAX-ORD_AA,4,-14.553511637260442,0.0036231884057970967,0.11383175627927322
LAX-ORD_UA,1,34.638545154177734,0.02058220582205822,-0.08650753030338976
LAX-ORD_UA,2,-34.60627420820458,-0.012820512820512817,0.08514836116536628
LAX-ORD_UA,3,-15.332781660552769,0.007246376811594207,0.04763621175480104
LAX-ORD_UA,4,-6.996587139454164,0.0036231884057970967,-0.05917499604917076
LAX-SEA_DL,1,2.3399549482116697,-0.0014076807434740962,-0.06154001814131327
LAX-SEA_DL,2,9.71111297978561,-0.003663003663003664,-0.07332134477785957
LAX-SEA_DL,3,11.712180626492966,-0.003623188405797102,0.006678476993201343
LAX-SEA_DL,4,24.498288987183855,-0.0054347826086956486,0.08146439348678136
LAX-SEA_UA,1,-35.82174085533137,-0.0014076807434740962,0.5853428449534581
LAX-SEA_UA,2,-20.629732656514392,-0.003663003663003664,0.35756164747512464
LAX-SEA_UA,3,23.77950570916431,-0.003623188405797102,0.09371013532381411
LAX-SEA_UA,4,46.29930336597377,-0.0054347826086956486,-0.17660317094695976
LAX-SEA_WN,1,29.649611163798937,-0.0014076807434740962,-0.68491668142343
LAX-SEA_WN,3,42.00040338920607,-0.003623188405797102,0.3777625055588283
ORD-ATL_AA,1,32.66502077752597,-0.01247779144458111,-0.6740078403492475
ORD-ATL_AA,2,-4.586940362854136,-0.007326007326007328,-0.45816434010901563
ORD-ATL_AA,3,-23.778664609053493,1.3877787807814457e-17,0.5514190207312444
ORD-ATL_AA,4,-15.691341622366565,-0.009057971014492752,0.07873546768577011
ORD-ATL_DL,1,24.734429500243664,-0.01247779144458111,-0.02065335701177773
ORD-ATL_DL,2,0.7021399344664871,-0.007326007326007328,0.1554963781843881
ORD-ATL_DL,3,7.430126212768812,1.3877787807814457e-17,0.08928087644031812
ORD-ATL_DL,4,8.148544632465246,-0.009057971014492752,0.23693757040026497
ORD-ATL_UA,1,31.379497614101723,-0.01247779144458111,0.16039619616498957
ORD-ATL_UA,2,6.987739763794423,-0.007326007326007328,0.14387111613157977
ORD-ATL_UA,3,9.944876372086156,1.3877787807814457e-17,0.1293212413140985
ORD-ATL_UA,4,13.841740375097032,-0.009057971014492752,0.020505193625744766
ORD-DEN_AA,1,-2.404562679167668,0.0020295202952029592,-0.22146710498695743
ORD-DEN_AA,2,-33.924425949859426,-0.003663003663003664,-0.033248906958220026
ORD-DEN_AA,3,-20.76677800191976,0.012681159420289856,0.10005482372270436
ORD-DEN_AA,4,-20.821577888920416,-0.0036231884057971037,0.057338538847190534
ORD-DEN_UA,1,32.43778816517727,0.0020295202952029592,-0.21106620516117935
ORD-DEN_UA,2,-19.88814282264127,-0.003663003663003664,0.03300231698637823
ORD-DEN_UA,3,3.9358362654741086,0.012681159420289856,-0.04324405584799784
ORD-DEN_UA,4,-10.595619540315198,-0.0036231884057971037,0.07396735484350003
